keywords,1986 - 1994,1995 - 2003,2004 - 2012,2013 - 2021,themes
single server,0.519,0.45,0.407,0.285,1
multiserver,0.146,0.209,0.236,0.165,1
queueing network,0.199,0.213,0.086,0.048,1
polling,0.115,0.093,0.086,0.066,1
vacations,0.123,0.153,0.07,0.045,1
priority queue,0.01,0.019,0.036,0.011,1
tandem,0.023,0.06,0.07,0.059,1
Laplace transforms,0.107,0.058,0.048,0.043,2
large deviations,0.008,0.079,0.086,0.029,2
diffusion,0.023,0.068,0.054,0.098,2
fluid limit,0.0,0.017,0.032,0.04,2
insensitivity,0.018,0.01,0.01,0.005,3
tail asymptotics,0.003,0.002,0.056,0.053,3
product form,0.072,0.062,0.036,0.051,3
reversibility,0.01,0.01,0.004,0.0,3
bandwidth,0.018,0.043,0.026,0.011,3
stability,0.077,0.128,0.122,0.13,3
